,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
12,"Wednesday, Apr 20",NYY,@,DET,W,5.0,3.0,9.0,7-5,1.0,Tied,Green,Hutchison,Chapman,3:06,N,17268.0,1.08,2,
13,"Thursday, Apr 21",NYY,@,DET,L,0.0,3.0,9.0,7-6,2.0,1.0,Pineda,Montgomery,Soto,2:34,D,21529.0,1.05,-1,
14,"Friday, Apr 22",NYY,Home,CLE,W,4.0,1.0,9.0,8-6,2.0,1.0,Taillon,Morgan,Chapman,2:58,N,41062.0,1.04,1,
15,"Saturday, Apr 23",NYY,Home,CLE,W-wo,5.0,4.0,9.0,9-6,2.0,1.0,Castro,Clase,None,2:50,D,39180.0,1.06,2,
16,"Sunday, Apr 24",NYY,Home,CLE,W,10.0,2.0,9.0,10-6,1.0,Tied,Cole,Civale,None,2:43,D,39050.0,1.09,3,
17,"Tuesday, Apr 26",NYY,Home,BAL,W,12.0,8.0,9.0,11-6,2.0,0.5,Severino,Lyles,None,3:19,N,28596.0,1.16,4,
18,"Wednesday, Apr 27",NYY,Home,BAL,W,5.0,2.0,9.0,12-6,1.0,up 0.5,King,Krehbiel,Holmes,2:57,N,31122.0,1.14,5,
19,"Thursday, Apr 28",NYY,Home,BAL,W,10.0,5.0,9.0,13-6,1.0,up 0.5,Castro,Zimmermann,None,3:51,D,29268.0,1.19,6,
20,"Friday, Apr 29",NYY,@,KCR,W,12.0,2.0,8.0,14-6,1.0,up 1.5,Cortes,Bubic,None,2:58,N,16460.0,1.22,7,
21,"Saturday, Apr 30",NYY,@,KCR,W,3.0,0.0,9.0,15-6,1.0,up 1.5,Cole,Hernandez,Chapman,3:08,N,23965.0,1.23,8,
22,"Sunday, May 1",NYY,@,KCR,W,6.0,4.0,9.0,16-6,1.0,up 1.5,Schmidt,Coleman,Chapman,3:23,D,19706.0,1.19,9,
23,"Monday, May 2",NYY,@,TOR,W,3.0,2.0,9.0,17-6,1.0,up 2.5,Holmes,Garcia,Green,2:54,N,18577.0,1.39,10,
24,"Tuesday, May 3",NYY,@,TOR,W,9.0,1.0,9.0,18-6,1.0,up 3.5,Taillon,Cimber,None,2:57,N,22491.0,1.40,11,
25,"Wednesday, May 4",NYY,@,TOR,L,1.0,2.0,9.0,18-7,1.0,up 2.5,Kikuchi,Cortes,Romano,2:44,N,29057.0,1.38,-1,
26,"Sunday, May 8 (1)",NYY,Home,TEX,W-wo,2.0,1.0,9.0,19-7,1.0,up 2.0,Holmes,King,None,2:54,D,,1.22,1,
27,"Sunday, May 8 (2)",NYY,Home,TEX,L,2.0,4.0,9.0,19-8,1.0,up 2.0,Richards,King,Barlow,3:07,D,40714.0,1.23,-1,
28,"Monday, May 9",NYY,Home,TEX,W,1.0,0.0,9.0,20-8,1.0,up 3.0,Holmes,Martin,Chapman,2:41,D,34866.0,1.23,1,
29,"Tuesday, May 10",NYY,Home,TOR,W-wo,6.0,5.0,9.0,21-8,1.0,up 4.0,Peralta,Romano,None,3:39,N,41522.0,1.34,2,
30,"Wednesday, May 11",NYY,Home,TOR,W,5.0,3.0,9.0,22-8,1.0,up 4.0,Taillon,Berrios,Chapman,2:50,D,42105.0,1.33,3,
31,"Thursday, May 12",NYY,@,CHW,W,15.0,7.0,9.0,23-8,1.0,up 4.5,Loaisiga,Kelly,None,3:56,N,20050.0,1.19,4,
32,"Friday, May 13",NYY,@,CHW,W,10.0,4.0,9.0,24-8,1.0,up 4.5,Cole,Velasquez,None,3:21,N,28877.0,1.24,5,
