,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
130,"Sunday, Aug 27",TEX,@,OAK,L,3.0,8.0,9.0,64-66,4.0,15.0,Cotton,Griffin,Treinen,3:20,D,16335.0,.62,-3,
131,"Tuesday, Aug 29",TEX,@,HOU,W,12.0,2.0,9.0,65-66,3.0,14.0,Perez,Fiers,None,3:27,N,3485.0,.48,1,2017-08-29 (Hurricane Harvey; Played at TB)
132,"Wednesday, Aug 30",TEX,@,HOU,W,8.0,1.0,9.0,66-66,3.0,13.0,Cashner,Keuchel,None,2:52,N,6123.0,.56,2,2017-08-30 (Hurricane Harvey; Played at TB)
133,"Thursday, Aug 31",TEX,@,HOU,L,1.0,5.0,9.0,66-67,3.0,14.0,Devenski,Martinez,Giles,3:02,D,3385.0,.67,-1,2017-08-31 (Hurricane Harvey; Played at TB)
134,"Friday, Sep 1",TEX,Home,LAA,W,10.0,9.0,9.0,67-67,3.0,13.5,Claudio,Bedrosian,None,4:33,N,32240.0,.60,1,
135,"Saturday, Sep 2",TEX,Home,LAA,L,4.0,7.0,10.0,67-68,4.0,15.0,Petit,Leclerc,Parker,4:09,N,25138.0,.76,-1,
136,"Sunday, Sep 3",TEX,Home,LAA,W,7.0,6.0,9.0,68-68,4.0,15.0,Perez,Heaney,Barnette,3:49,D,28783.0,.56,1,
137,"Monday, Sep 4",TEX,@,ATL,W,8.0,2.0,9.0,69-68,3.0,15.0,Cashner,Dickey,None,2:50,N,23474.0,.63,2,
138,"Wednesday, Sep 6 (1)",TEX,@,ATL,W,12.0,8.0,9.0,70-68,3.0,16.0,Bibens-Dirkx,Gohara,None,3:30,D,19971.0,.77,3,2017-09-05 (Rain)
139,"Wednesday, Sep 6 (2)",TEX,@,ATL,L,4.0,5.0,9.0,70-69,3.0,16.0,Teheran,Hamels,Vizcaino,3:03,N,20364.0,.92,-1,
140,"Friday, Sep 8",TEX,Home,NYY,W,11.0,5.0,9.0,71-69,3.0,15.0,Perez,Tanaka,None,3:23,N,35883.0,.87,1,
141,"Saturday, Sep 9",TEX,Home,NYY,L,1.0,3.0,9.0,71-70,3.0,14.5,Robertson,Claudio,Chapman,2:57,D,38135.0,1.10,-1,
142,"Sunday, Sep 10",TEX,Home,NYY,L,7.0,16.0,9.0,71-71,3.0,14.5,Green,Griffin,None,3:43,D,31349.0,.90,-2,
143,"Monday, Sep 11",TEX,Home,SEA,W,5.0,3.0,9.0,72-71,3.0,14.0,Hamels,Miranda,Claudio,2:43,N,20686.0,.66,1,
144,"Tuesday, Sep 12",TEX,Home,SEA,L,3.0,10.0,9.0,72-72,3.0,15.0,Gonzales,Gonzalez,None,3:09,N,20557.0,.81,-1,
145,"Wednesday, Sep 13",TEX,Home,SEA,L,1.0,8.0,9.0,72-73,4.0,15.0,Leake,Perez,None,3:08,N,23083.0,.61,-2,
146,"Thursday, Sep 14",TEX,Home,SEA,L,4.0,10.0,9.0,72-74,4.0,16.0,Albers,Cashner,None,3:21,N,21931.0,.37,-3,
147,"Friday, Sep 15",TEX,@,LAA,L,6.0,7.0,9.0,72-75,4.0,17.0,Petit,Mendez,Parker,3:20,N,41409.0,.23,-4,
148,"Saturday, Sep 16",TEX,@,LAA,L,0.0,2.0,9.0,72-76,4.0,18.0,Bridwell,Hamels,Petit,2:45,N,40719.0,.18,-5,
149,"Sunday, Sep 17",TEX,@,LAA,W,4.0,2.0,9.0,73-76,4.0,18.0,Gonzalez,Richards,Diekman,3:22,D,36709.0,.13,1,
150,"Tuesday, Sep 19",TEX,@,SEA,W,3.0,1.0,9.0,74-76,3.0,18.0,Barnette,Vincent,Claudio,2:54,N,17251.0,.19,2,
151,"Wednesday, Sep 20",TEX,@,SEA,W,8.0,6.0,9.0,75-76,3.0,18.0,Cashner,Hernandez,Claudio,3:27,N,15962.0,.44,3,
152,"Thursday, Sep 21",TEX,@,SEA,W,4.0,2.0,9.0,76-76,2.0,17.0,Hamels,Paxton,Kela,2:45,N,14849.0,.84,4,
153,"Friday, Sep 22",TEX,@,OAK,L,1.0,4.0,9.0,76-77,2.0,18.0,Graveman,Martinez,Treinen,2:37,N,13848.0,.93,-1,
154,"Saturday, Sep 23",TEX,@,OAK,L,0.0,1.0,9.0,76-78,2.0,19.0,Alcantara,Gonzalez,Treinen,2:38,N,38034.0,.51,-2,
155,"Sunday, Sep 24",TEX,@,OAK,L,1.0,8.0,9.0,76-79,3.0,19.0,Cotton,Perez,None,2:45,D,18601.0,.17,-3,
156,"Monday, Sep 25",TEX,Home,HOU,L,2.0,11.0,9.0,76-80,3.0,20.0,McHugh,Cashner,None,3:33,N,30390.0,.02,-4,
157,"Tuesday, Sep 26",TEX,Home,HOU,L,3.0,14.0,9.0,76-81,4.0,21.0,Keuchel,Hamels,None,3:23,N,28976.0,.00,-5,
158,"Wednesday, Sep 27",TEX,Home,HOU,L,2.0,12.0,9.0,76-82,4.0,22.0,Verlander,Martinez,None,3:17,D,26053.0,.00,-6,
159,"Thursday, Sep 28",TEX,Home,OAK,L,1.0,4.0,9.0,76-83,4.0,23.0,Manaea,Gonzalez,Treinen,2:50,N,41664.0,.00,-7,
160,"Friday, Sep 29",TEX,Home,OAK,W,5.0,3.0,9.0,77-83,3.0,23.0,Perez,Alcantara,Claudio,2:54,N,28459.0,.00,1,
161,"Saturday, Sep 30",TEX,Home,OAK,W,8.0,4.0,9.0,78-83,3.0,22.0,Cashner,Gossett,None,3:14,N,32759.0,.00,2,
162,"Sunday, Oct 1",TEX,Home,OAK,L,2.0,5.0,9.0,78-84,3.0,23.0,Mengden,Hamels,Treinen,2:37,D,33961.0,.00,-1,
