mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
3.281755065917969,0.18076461449165918,0.10487303733825684,0.04357243759925377,10,{'n_estimators': 10},-24728594.389543604,-22510398.82230236,-24364463.010330077,-25917532.972286064,-23598529.10028117,-24223903.658948652,1137544.9072141082,10,-4972.785375375012,-4744.512495747309,-4936.03717675729,-5090.926533774187,-4857.831728279724,-4920.418661986705,115.68858941841462,10,-3683.3581907090465,-3520.3972697636505,-3595.253911980439,-3695.3284026079873,-3527.3483700081492,-3604.337229013855,74.26898932599855,10,-0.14269825726311347,-0.14032793179161057,-0.1472823094519642,-0.14885740872683131,-0.14154536726465802,-0.14414225489963553,0.003330784698569168,10
5.851015663146972,0.3444570366821305,0.11640052795410157,0.014177883079979282,16,{'n_estimators': 16},-23331225.613249414,-21352817.037446834,-23125278.001179516,-24604617.31947522,-22303010.3772683,-22943389.669723857,1084728.9362106142,9,-4830.240740713594,-4620.91084500089,-4808.874920517222,-4960.30415594399,-4722.606311907472,-4788.587394816633,113.2273461982666,9,-3601.114303178484,-3436.4032447025265,-3486.001859209454,-3592.7866748166257,-3442.0380755908723,-3511.6688314995927,71.7673199989178,9,-0.13983190740959134,-0.13784928797474313,-0.1432121228975384,-0.14490011788914253,-0.13761703403331862,-0.1406820940408668,0.002909810013260371,9
9.071095514297486,0.5801526717998226,0.17400074005126953,0.03151588726590841,27,{'n_estimators': 27},-22666150.433481686,-20922312.5142669,-22355443.719210424,-23503412.3215785,-21228731.068811256,-22135210.01146975,948177.4719262772,8,-4760.898070057968,-4574.091441397614,-4728.154367108843,-4848.0317987383805,-4607.464711618663,-4703.728077784293,100.75803557744052,8,-3561.909988227837,-3403.6208759696938,-3436.0852274442336,-3501.4298499803795,-3361.9037852032957,-3452.989945365088,71.03486914231938,8,-0.13875902708492238,-0.13701022214744138,-0.1409329120096829,-0.141833119150339,-0.13470491424117506,-0.13864803892671212,0.0025926193509899905,8
14.602292728424072,1.3001358712462838,0.18520040512084962,0.006012724131787949,46,{'n_estimators': 46},-22469591.811709173,-20441149.83135516,-22041310.23705385,-23196904.130630635,-20909135.378689628,-21811618.27788769,1009689.4183273484,7,-4740.210102063956,-4521.1889842557075,-4694.817380586155,-4816.316448348326,-4572.6508043682525,-4669.036743924479,108.23198127533165,7,-3539.2369423478967,-3365.816289288119,-3415.8922876581273,-3469.34250203749,-3330.9925764501613,-3424.2561195563585,74.07648400616483,7,-0.13814086893466548,-0.13520068636579988,-0.14015270477415828,-0.1400863701467959,-0.1336826444708323,-0.13745265493845038,0.0026070943518299635,7
22.759502267837526,1.084773116982419,0.3559835433959961,0.09406039543164176,77,{'n_estimators': 77},-22247751.624149077,-20216247.715132944,-21780258.845166996,-23067804.13043124,-20618829.20349269,-21586178.303674586,1047190.11688487,6,-4716.752232643673,-4496.248182110608,-4666.932487744707,-4802.895390327718,-4540.796097986859,-4644.724878162713,112.73468787804603,6,-3509.2854232157415,-3357.187168577144,-3389.451274886483,-3464.1783041734143,-3315.3984324558896,-3407.1001206617343,70.58574821285977,6,-0.13710460593854396,-0.13446324824446074,-0.13944134092670943,-0.14003779776012182,-0.13270974940846308,-0.1367513484556598,0.0028189191123232614,6
38.74429850578308,2.1013256498158586,0.43418164253234864,0.01652710936362887,129,{'n_estimators': 129},-22072318.798214875,-20132521.331273116,-21672836.52382655,-23027580.41787179,-20507513.94948752,-21482554.20413477,1053036.3616458806,5,-4698.118644544311,-4486.927827731701,-4655.409383053928,-4798.706119140012,-4528.522269956008,-4633.536848885191,113.53622398977957,5,-3495.0002400763196,-3349.003680117258,-3381.5141297549326,-3463.9436578786103,-3309.3931407668542,-3399.770969718795,69.66423717159627,5,-0.13658771717306423,-0.134070254770588,-0.13930512332013129,-0.1401896905994325,-0.13237081688287466,-0.13650472054921814,0.0029814067666057917,5
61.445949125289914,1.3889928585288123,0.8157351970672607,0.04562256441384639,215,{'n_estimators': 215},-21931962.92038783,-20068151.258979574,-21681422.27388422,-22853447.545850005,-20414788.511306133,-21389954.502081554,1021631.1467171552,4,-4683.157366605123,-4479.749017409298,-4656.331417960304,-4780.527956810838,-4518.272735383083,-4623.60769883373,110.48234866718352,4,-3482.241716419325,-3344.3214230207923,-3379.1876215386364,-3455.3923902124675,-3298.9611626011633,-3392.020862758477,68.19939787418762,4,-0.13607807962190807,-0.133652510727242,-0.1391522110932924,-0.13960716743883506,-0.13195834371033166,-0.13608966251832183,0.002991978701441417,4
104.59912400245666,1.538566884332184,1.2444570541381836,0.07592650099808645,359,{'n_estimators': 359},-21986041.53327734,-20003607.974510062,-21624997.92321852,-22758310.800263014,-20356741.484017663,-21345939.94305732,1025939.9149587835,3,-4688.927546174854,-4472.539320622018,-4650.268586137635,-4770.567136123651,-4511.844576669022,-4618.829433145435,111.15129583918504,3,-3484.5262569439246,-3336.4952065072544,-3371.977660257938,-3449.844327832679,-3293.651987659282,-3387.299087840216,70.6407663202863,3,-0.1362786612089808,-0.13336480064858802,-0.13917614912951368,-0.1394561884110537,-0.13172539208154943,-0.13600023829593713,0.0030766007829824355,2
167.51247506141664,1.2640302736327458,1.4927253723144531,0.279987645360039,599,{'n_estimators': 599},-21950897.689763345,-20034371.23173744,-21622151.51536402,-22683649.38519344,-20328271.78310281,-21323868.32103221,998514.741539683,2,-4685.17851204875,-4475.977125917584,-4649.9625283827845,-4762.735493935543,-4508.688477052147,-4616.508427467362,108.25091295243472,2,-3485.76235045369,-3341.048220818996,-3370.7819640993616,-3447.439433149245,-3289.7650757238703,-3386.9594088490326,71.04384548388505,2,-0.13643431453085064,-0.1336238898646038,-0.13914513042610618,-0.13940571809535107,-0.13148792582980598,-0.13601939574934355,0.0030881134037250065,3
218.23032426834106,13.475794854362503,1.295191764831543,0.2458803686041312,1000,{'n_estimators': 1000},-21915135.887501735,-20021137.460060257,-21591420.75509061,-22691295.923122775,-20248390.73939319,-21293476.15303371,1013921.2190744523,1,-4681.360473997034,-4474.498570796538,-4646.656943985709,-4763.538172737023,-4499.8211897133415,-4613.1750702459285,109.96328612396795,1,-3484.1471772616137,-3337.059646291769,-3370.5534083129583,-3445.865599022005,-3285.3800077424617,-3384.6011677261617,72.06262963530332,1,-0.1364717564742566,-0.13347620037966984,-0.13923499566170988,-0.1392671004163937,-0.13127433757720014,-0.13594487810184605,0.00316379373451069,1
