mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
2.9953207969665527,0.03071734152149645,0.0398353099822998,0.0007500760749951836,0.3,0.1,3,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-25948233.31454407,-26771340.89013938,-24812711.31007703,-25541744.023705866,-25829447.83291956,-25780695.47427718,633390.1164741482,118,-5093.94084325133,-5174.102906798374,-4981.235921945178,-5053.884053251109,-5082.267981218578,-5077.086341292914,62.36791911002369,118,-3883.8619385760494,-3960.2147474467706,-3931.01393830067,-3904.260588977817,-3967.409431588096,-3929.352128977881,31.945465760626337,118,-0.16290934246209676,-0.17126999244537416,-0.163073757375385,-0.1569320009839777,-0.16126880559514506,-0.16309077977239572,0.0046515132005964625,118
8.593402671813966,0.23297673616372144,0.04824390411376953,0.0014710863484049689,0.3,0.1,3,300,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-21594513.424717147,-22399514.200692628,-20004956.0157025,-21350148.09490569,-21136990.630947214,-21297224.473393038,774836.3600413237,96,-4646.989716441941,-4732.812504282483,-4472.690020077683,-4620.622046316458,-4597.49830135338,-4614.122517694389,84.2488284703763,96,-3490.8109336797065,-3568.63873574553,-3478.0984095641047,-3526.765730257042,-3548.6804515586796,-3522.5988521610125,34.082384697606855,96,-0.14332953608528307,-0.1504416452695145,-0.13993919982865632,-0.13825571948016635,-0.14062973300682372,-0.1425191667340888,0.004285452978611913,98
14.348026847839355,0.42526521943818524,0.056653070449829104,0.0019624590966045483,0.3,0.1,3,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-20141778.899575815,-20842628.72959527,-18592003.08341983,-20043119.15004105,-19910803.86743494,-19906066.746013384,731884.9198536322,84,-4487.9593246347295,-4565.3727919629155,-4311.84451058011,-4476.954226931637,-4462.152380570944,-4460.856646936068,82.61187263153329,84,-3362.143540759347,-3423.140623408211,-3342.6662901091013,-3396.217904163165,-3424.1831554111272,-3389.67030277019,32.62321344709512,86,-0.1373094641696347,-0.14365908109157402,-0.1334502341094061,-0.13243139721914174,-0.13450669302637755,-0.1362713739232268,0.004036686714861114,84
27.59225125312805,0.4484722276658566,0.08347530364990234,0.00585716360621927,0.3,0.1,3,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-18765738.416494373,-19029716.97330996,-17273042.19144383,-18725885.762129076,-18894860.902477253,-18537848.849170897,641314.1624368725,67,-4331.94395352645,-4362.306382329187,-4156.084959603669,-4327.341650728433,-4346.82193130536,-4304.89977549862,75.41068944674028,67,-3228.839682780346,-3240.0428726457444,-3180.8146149900354,-3258.0269848015996,-3305.5640404537235,-3242.6576391342896,40.53582284868252,70,-0.13084383078908368,-0.13556398577175244,-0.12588037778253305,-0.126039065422339,-0.12865865734937665,-0.12939718342301695,0.0035864338552657146,68
4.193807792663574,0.0487349301716127,0.04484090805053711,0.0009809516757068688,0.3,0.1,5,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-21372248.32388479,-21878330.689498343,-20230558.48363932,-21117199.609258518,-20825168.18881347,-21084701.059018888,549637.0485088499,94,-4623.012905442163,-4677.427785599511,-4497.839312785564,-4595.345428720078,-4563.460111451996,-4591.417108799862,59.91654228006302,94,-3474.177647622504,-3495.98952204946,-3493.2408681059624,-3499.2095494600653,-3522.79426844565,-3497.082371136728,15.531930818605787,94,-0.1435414848890569,-0.14910661083399135,-0.14323273308927167,-0.13889373332813035,-0.14171440906838215,-0.1432977942417665,0.0033379283822622253,99
12.247519302368165,0.340639871233123,0.08207511901855469,0.023971609872685765,0.3,0.1,5,300,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",-18362544.617200684,-18487886.720911767,-17179763.74464622,-18176252.076664336,-18084421.95900993,-18058173.82368659,461200.7067167158,60,-4285.153978237035,-4299.754262851747,-4144.8478554280155,-4263.361593468742,-4252.578271943967,-4249.139192385902,54.680411635971936,60,-3174.37398324483,-3146.31729526411,-3167.9763909847443,-3190.3856876687296,-3233.06776046442,-3182.424223525367,29.001411162780073,65,-0.1295484608762371,-0.13224464991853857,-0.1266307236086763,-0.12437314086242872,-0.12708367378105373,-0.12797612980938688,0.0026937191340351725,65
19.221249961853026,0.4294368894577908,0.07947239875793458,0.005318981868659622,0.3,0.1,5,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-17603174.19933061,-17630419.238257013,-16363049.774157349,-17480571.804523397,-17525289.798544258,-17320500.962962523,481710.9955900301,48,-4195.613685663947,-4198.859278215575,-4045.1266697295587,-4180.9773743137375,-4186.321750480278,-4161.379751680619,58.476707030015895,48,-3096.627960130463,-3064.0930106140486,-3059.5870376251146,-3105.7551018824497,-3166.271242423085,-3098.466870535032,38.333109468847894,52,-0.1256170573556198,-0.12790846171286485,-0.12147383791235418,-0.1202180944359519,-0.12366127255904377,-0.12377574479516688,0.0027726715036410165,44
37.246123504638675,0.08392627463944868,0.1301173210144043,0.007649846713147358,0.3,0.1,5,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}",-16954169.389870323,-16966320.079070553,-15918110.390990626,-17103260.352006342,-17019977.966589134,-16792367.635705397,440278.4877583283,20,-4117.544096894449,-4119.0193103541715,-3989.7506677724396,-4135.608824829344,-4125.527598573198,-4097.49009968472,54.24498770483977,20,-3017.4679538070814,-2999.2329037890945,-3000.1094486202373,-3056.458115059278,-3093.4120482901003,-3033.336093913158,36.503653408029564,32,-0.12186559404909865,-0.12507529768241568,-0.11865481227929847,-0.11768914012075397,-0.12038038681851235,-0.12073304619001583,0.0026017917539578675,28
6.221848726272583,0.12676886423947853,0.05344886779785156,0.002579493873992101,0.3,0.1,8,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",-19030145.70766751,-18995849.126198817,-18061018.87152857,-18680821.077812016,-18704440.14642138,-18694454.985925656,347865.9472721125,70,-4362.3555228417035,-4358.422779653073,-4249.825746019308,-4322.131543325818,-4324.863020538498,-4323.519722475679,40.4004367485996,70,-3255.8181651767522,-3205.444563165368,-3226.5372584062375,-3248.7484358684164,-3271.4191160318614,-3241.5935077297268,23.13671378374877,69,-0.13355089904628484,-0.1361643856014983,-0.13029738690202264,-0.1274629078953183,-0.13050412825923477,-0.13159594154087179,0.0029884045071026503,70
17.508497428894042,0.381240986755369,0.11270294189453126,0.02191528291862678,0.3,0.1,8,300,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",-17344915.53922218,-17351448.4619262,-16398643.833901608,-17132732.189617876,-17483668.731669392,-17142281.75126745,388444.27696351643,38,-4164.722744580025,-4165.506987381752,-4049.5239021274597,-4139.170471195633,-4181.347717144485,-4140.054364485872,47.239923464617284,38,-3078.8047903693587,-3024.22522758602,-3030.987596183845,-3058.060941240704,-3105.89916852906,-3059.595544781798,30.281511711645436,40,-0.12485309063400594,-0.12635568156746887,-0.12108480664906655,-0.11854137021643617,-0.12245891486321088,-0.12265877278603769,0.0027550855473449367,41
