,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
120,"Wednesday, Aug 17",DET,@,CLE,L,4.0,8.0,9.0,45-75,5.0,19.0,Shaw,Chafin,None,3:14,N,14335.0,.00,-1,
121,"Friday, Aug 19",DET,Home,LAA,L,0.0,1.0,9.0,45-76,5.0,20.0,Sandoval,Manning,None,2:15,N,28197.0,.00,-2,
122,"Saturday, Aug 20",DET,Home,LAA,W,4.0,3.0,9.0,46-76,5.0,19.0,Alexander,Detmers,Soto,2:40,D,23581.0,.00,1,
123,"Sunday, Aug 21",DET,Home,LAA,W,4.0,0.0,9.0,47-76,5.0,18.5,Rodriguez,Ohtani,None,2:56,D,23064.0,.00,2,
124,"Tuesday, Aug 23",DET,Home,SFG,L,1.0,3.0,9.0,47-77,5.0,19.5,Rodon,Hutchison,Doval,2:52,N,21123.0,.00,-1,
125,"Wednesday, Aug 24",DET,Home,SFG,W,6.0,1.0,9.0,48-77,5.0,19.5,Manning,Webb,None,2:53,D,17400.0,.00,1,
126,"Friday, Aug 26",DET,@,TEX,L,6.0,7.0,9.0,48-78,5.0,19.0,Otto,Alexander,Leclerc,3:03,N,20357.0,.00,-1,
127,"Saturday, Aug 27",DET,@,TEX,W,11.0,2.0,9.0,49-78,5.0,19.0,Rodriguez,Keuchel,None,3:00,N,34357.0,.00,1,
128,"Sunday, Aug 28",DET,@,TEX,W,9.0,8.0,9.0,50-78,5.0,18.0,Hutchison,Arihara,Jimenez,3:35,D,24938.0,.00,2,
129,"Tuesday, Aug 30",DET,Home,SEA,L,3.0,9.0,9.0,50-79,5.0,19.0,Kirby,Manning,Flexen,2:53,N,12536.0,.00,-1,
130,"Wednesday, Aug 31",DET,Home,SEA,L,3.0,5.0,9.0,50-80,5.0,19.0,Gonzales,Lange,Sewald,3:00,N,13666.0,.00,-2,
131,"Thursday, Sep 1",DET,Home,SEA,L,0.0,7.0,9.0,50-81,5.0,19.0,Gilbert,Rodriguez,None,2:47,D,14393.0,.00,-3,
132,"Friday, Sep 2",DET,Home,KCR,W,5.0,4.0,9.0,51-81,5.0,18.0,Chafin,Hernandez,Soto,3:00,N,16067.0,.00,1,
133,"Saturday, Sep 3",DET,Home,KCR,L,2.0,12.0,9.0,51-82,5.0,18.0,Heasley,Pineda,None,2:59,N,15259.0,.00,-1,
134,"Sunday, Sep 4",DET,Home,KCR,L,2.0,3.0,9.0,51-83,5.0,18.0,Coleman,Soto,Barlow,3:39,D,15206.0,.00,-2,
135,"Monday, Sep 5",DET,@,LAA,L,0.0,10.0,9.0,51-84,5.0,19.0,Suarez,Alexander,None,2:53,N,19518.0,.00,-3,
136,"Tuesday, Sep 6",DET,@,LAA,L-wo,4.0,5.0,10.0,51-85,5.0,20.0,Tepera,Chafin,None,3:01,N,20002.0,.00,-4,
