,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",PIT,@,CIN,L,3.0,5.0,9.0,0-1,4.0,1.0,Duke,Taillon,Hernandez,2:54,D,44049.0,1.07,-1,
2,"Sunday, Mar 31",PIT,@,CIN,W,5.0,0.0,9.0,1-1,2.0,1.0,Williams,Gray,None,3:15,D,18737.0,1.02,1,
3,"Monday, Apr 1",PIT,Home,STL,L,5.0,6.0,11.0,1-2,2.0,2.0,Hicks,Brault,Gant,4:50,D,37336.0,1.09,-1,
4,"Wednesday, Apr 3",PIT,Home,STL,L,4.0,5.0,10.0,1-3,3.0,3.5,Gant,Burdi,Hudson,3:30,N,23954.0,1.00,-2,
5,"Thursday, Apr 4",PIT,Home,CIN,W,2.0,0.0,9.0,2-3,3.0,3.0,Kingham,Hernandez,Vazquez,2:40,N,8523.0,.92,1,
6,"Friday, Apr 5",PIT,Home,CIN,W,2.0,0.0,9.0,3-3,2.0,3.0,Musgrove,Gray,Vazquez,2:25,N,12497.0,1.01,2,
7,"Saturday, Apr 6",PIT,Home,CIN,W-wo,6.0,5.0,10.0,4-3,2.0,2.0,Liriano,Iglesias,None,3:11,D,15798.0,1.06,3,
8,"Sunday, Apr 7",PIT,Home,CIN,W,7.0,5.0,9.0,5-3,2.0,2.0,Archer,DeSclafani,Rodriguez,2:54,D,14750.0,1.08,4,
9,"Monday, Apr 8",PIT,@,CHC,L,0.0,10.0,9.0,5-4,2.0,2.0,Brach,Taillon,None,3:12,D,40692.0,1.17,-1,
10,"Wednesday, Apr 10",PIT,@,CHC,W,5.0,2.0,9.0,6-4,2.0,0.5,Lyles,Darvish,Vazquez,3:10,N,32798.0,1.13,1,
11,"Thursday, Apr 11",PIT,@,CHC,L,0.0,2.0,9.0,6-5,3.0,1.0,Quintana,Musgrove,Strop,2:38,N,31906.0,1.13,-1,
12,"Friday, Apr 12",PIT,@,WSN,W,6.0,3.0,10.0,7-5,3.0,1.0,Burdi,Grace,Vazquez,3:28,N,27084.0,1.03,1,
13,"Saturday, Apr 13",PIT,@,WSN,L,2.0,3.0,9.0,7-6,3.0,2.0,Suero,Rodriguez,Doolittle,2:22,D,32103.0,1.08,-1,
14,"Sunday, Apr 14",PIT,@,WSN,W,4.0,3.0,9.0,8-6,3.0,1.0,Vazquez,Suero,None,2:47,D,22347.0,1.03,1,
15,"Tuesday, Apr 16",PIT,@,DET,W,5.0,3.0,10.0,9-6,2.0,1.5,Kela,Greene,Kingham,3:03,N,13251.0,1.04,2,
16,"Wednesday, Apr 17",PIT,@,DET,W,3.0,2.0,10.0,10-6,2.0,0.5,Burdi,Farmer,Vazquez,3:21,N,12994.0,1.06,3,
17,"Friday, Apr 19",PIT,Home,SFG,W,4.0,1.0,9.0,11-6,1.0,up 1.0,Lyles,Bumgarner,Vazquez,2:48,N,15049.0,1.13,4,
18,"Saturday, Apr 20",PIT,Home,SFG,W,3.0,1.0,5.0,12-6,1.0,up 1.0,Taillon,Holland,None,1:32,D,17663.0,1.16,5,
19,"Sunday, Apr 21",PIT,Home,SFG,L,2.0,3.0,9.0,12-7,1.0,up 1.0,Rodriguez,Archer,Smith,2:47,D,12396.0,1.20,-1,
20,"Monday, Apr 22",PIT,Home,ARI,L,4.0,12.0,9.0,12-8,1.0,Tied,Andriese,Crick,None,3:35,N,9233.0,1.19,-2,
21,"Tuesday, Apr 23",PIT,Home,ARI,L,1.0,2.0,9.0,12-9,2.0,1.0,Weaver,Williams,Holland,2:53,N,8558.0,1.16,-3,
22,"Wednesday, Apr 24",PIT,Home,ARI,L,2.0,11.0,9.0,12-10,2.0,2.0,Kelly,Lyles,None,2:49,N,9450.0,1.11,-4,
23,"Thursday, Apr 25",PIT,Home,ARI,L,0.0,5.0,9.0,12-11,2.0,2.5,Greinke,Taillon,None,2:41,D,9365.0,1.05,-5,
24,"Friday, Apr 26",PIT,@,LAD,L,2.0,6.0,9.0,12-12,3.0,2.5,Ryu,Archer,None,2:52,N,50748.0,1.02,-6,
