,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
118,"Monday, Aug 16",NYY,Home,LAA,W,2.0,1.0,9.0,66-52,3.0,5.5,Cole,Suarez,Green,2:49,N,37010.0,1.35,3,
119,"Tuesday, Aug 17 (1)",NYY,Home,BOS,W,5.0,3.0,7.0,67-52,2.0,5.0,Abreu,Whitlock,Loaisiga,2:56,D,39078.0,1.81,4,
120,"Tuesday, Aug 17 (2)",NYY,Home,BOS,W,2.0,0.0,7.0,68-52,2.0,5.0,Peralta,Eovaldi,Green,2:31,N,35237.0,1.93,5,
121,"Wednesday, Aug 18",NYY,Home,BOS,W,5.0,2.0,9.0,69-52,2.0,5.0,Heaney,Pivetta,Luetge,3:41,N,39166.0,1.89,6,
122,"Thursday, Aug 19",NYY,Home,MIN,W,7.0,5.0,9.0,70-52,2.0,5.0,Taillon,Gant,Green,2:54,N,30019.0,1.50,7,
123,"Friday, Aug 20",NYY,Home,MIN,W,10.0,2.0,9.0,71-52,2.0,4.0,Cortes,Barnes,None,3:02,N,39124.0,1.49,8,
124,"Saturday, Aug 21",NYY,Home,MIN,W,7.0,1.0,9.0,72-52,2.0,4.0,Cole,Maeda,None,3:04,D,35247.0,1.58,9,
125,"Monday, Aug 23",NYY,@,ATL,W,5.0,1.0,9.0,73-52,2.0,4.0,Montgomery,Ynoa,None,2:58,N,39176.0,1.45,10,
126,"Tuesday, Aug 24",NYY,@,ATL,W,5.0,4.0,9.0,74-52,2.0,4.0,Holmes,Morton,Peralta,3:35,N,37426.0,1.47,11,
127,"Thursday, Aug 26",NYY,@,OAK,W,7.0,6.0,9.0,75-52,2.0,4.0,Loaisiga,Trivino,Chapman,3:43,N,8147.0,1.41,12,
128,"Friday, Aug 27",NYY,@,OAK,W,8.0,2.0,9.0,76-52,2.0,4.0,Cole,Manaea,None,3:27,N,22463.0,1.42,13,
129,"Saturday, Aug 28",NYY,@,OAK,L,2.0,3.0,9.0,76-53,2.0,5.0,Montas,Cortes,Romo,2:45,D,18337.0,1.24,-1,
130,"Sunday, Aug 29",NYY,@,OAK,L,1.0,3.0,9.0,76-54,2.0,6.0,Guerra,Green,Chafin,3:12,D,18468.0,1.25,-2,
131,"Monday, Aug 30",NYY,@,LAA,L,7.0,8.0,9.0,76-55,2.0,7.0,Guerra,Peralta,Iglesias,3:10,N,29436.0,1.05,-3,
132,"Tuesday, Aug 31",NYY,@,LAA,L,4.0,6.0,9.0,76-56,2.0,8.0,Herget,Taillon,Iglesias,3:12,N,34813.0,.98,-4,
133,"Wednesday, Sep 1",NYY,@,LAA,W,4.0,1.0,9.0,77-56,2.0,7.0,Cole,Naughton,Chapman,2:50,D,28753.0,1.00,1,
134,"Friday, Sep 3",NYY,Home,BAL,W-wo,4.0,3.0,11.0,78-56,2.0,6.5,Holmes,Tate,None,3:48,N,34085.0,1.18,2,
135,"Saturday, Sep 4",NYY,Home,BAL,L,3.0,4.0,9.0,78-57,2.0,7.5,Sulser,Chapman,None,3:54,D,34571.0,1.08,-1,
136,"Sunday, Sep 5",NYY,Home,BAL,L,7.0,8.0,9.0,78-58,2.0,7.5,Diplan,Heaney,Wells,4:01,D,33091.0,1.06,-2,
137,"Monday, Sep 6",NYY,Home,TOR,L,0.0,8.0,9.0,78-59,2.0,8.5,Ryu,Taillon,None,2:45,D,31196.0,1.37,-3,
