,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 5",NYY,Home,HOU,L &H,3.0,5.0,9.0,0-1,4.0,1.0,Keuchel,Betances,Gregerson,3:17,D,47820.0,.94,-1,2016-04-04 (Inclement weather)
2,"Wednesday, Apr 6",NYY,Home,HOU,W,16.0,6.0,9.0,1-1,2.0,1.0,Pineda,McHugh,Nova,3:45,N,37493.0,.88,1,
3,"Thursday, Apr 7",NYY,Home,HOU,W,8.0,5.0,9.0,2-1,2.0,1.0,Shreve,Harris,Miller,3:00,D,30003.0,.92,2,
4,"Friday, Apr 8",NYY,@,DET,L,0.0,4.0,9.0,2-2,3.0,2.0,Zimmermann,Severino,None,2:44,D,45049.0,.95,-1,
5,"Saturday, Apr 9",NYY,@,DET,W,8.0,4.0,9.0,3-2,3.0,1.5,Sabathia,Pelfrey,None,3:20,D,32419.0,.97,1,
6,"Tuesday, Apr 12",NYY,@,TOR,W,3.0,2.0,9.0,4-2,2.0,2.5,Barbato,Cecil,Miller,3:03,N,28819.0,1.05,2,
7,"Wednesday, Apr 13",NYY,@,TOR,L,2.0,7.0,9.0,4-3,2.0,2.5,Happ,Pineda,None,2:43,N,27938.0,1.13,-1,
8,"Thursday, Apr 14",NYY,@,TOR,L,2.0,4.0,9.0,4-4,2.0,2.5,Stroman,Eovaldi,Osuna,2:22,N,36238.0,1.09,-2,
9,"Friday, Apr 15",NYY,Home,SEA,L,1.0,7.0,9.0,4-5,3.0,3.5,Karns,Severino,None,3:18,N,35531.0,.89,-3,
10,"Saturday, Apr 16",NYY,Home,SEA,L,2.0,3.0,9.0,4-6,3.0,3.5,Hernandez,Sabathia,Cishek,3:21,D,38574.0,.92,-4,
11,"Sunday, Apr 17",NYY,Home,SEA,W,4.0,3.0,9.0,5-6,3.0,3.0,Tanaka,Iwakuma,Miller,2:34,D,43856.0,.81,1,
12,"Tuesday, Apr 19",NYY,Home,OAK,L,2.0,3.0,11.0,5-7,5.0,3.0,Rodriguez,Barbato,Madson,3:30,N,31952.0,.88,-1,
13,"Wednesday, Apr 20",NYY,Home,OAK,L,2.0,5.0,9.0,5-8,5.0,4.0,Graveman,Eovaldi,Doolittle,2:57,N,37396.0,.84,-2,
14,"Thursday, Apr 21",NYY,Home,OAK,L,3.0,7.0,9.0,5-9,5.0,5.0,Hill,Shreve,Madson,3:18,N,33818.0,.78,-3,
15,"Friday, Apr 22",NYY,Home,TBR,W,6.0,3.0,9.0,6-9,5.0,4.0,Nova,Moore,Miller,3:02,N,31843.0,.81,1,
16,"Saturday, Apr 23",NYY,Home,TBR,W-wo,3.0,2.0,9.0,7-9,4.0,4.0,Miller,Ramirez,None,2:55,D,40714.0,.88,2,
17,"Sunday, Apr 24",NYY,Home,TBR,L,1.0,8.0,9.0,7-10,5.0,4.0,Smyly,Pineda,None,2:50,D,40981.0,.96,-1,
18,"Monday, Apr 25",NYY,@,TEX,W,3.0,1.0,9.0,8-10,5.0,3.0,Eovaldi,Ramos,Miller,2:46,N,31453.0,.78,1,
19,"Tuesday, Apr 26",NYY,@,TEX,L,1.0,10.0,9.0,8-11,5.0,3.0,Griffin,Severino,None,2:19,N,26163.0,.83,-1,
20,"Wednesday, Apr 27",NYY,@,TEX,L,2.0,3.0,9.0,8-12,5.0,4.0,Perez,Sabathia,Tolleson,2:44,N,35477.0,.83,-2,
21,"Friday, Apr 29",NYY,@,BOS,L,2.0,4.0,9.0,8-13,5.0,5.5,Uehara,Betances,Kimbrel,2:50,N,37115.0,.81,-3,
22,"Saturday, Apr 30",NYY,@,BOS,L,0.0,8.0,9.0,8-14,5.0,5.5,Porcello,Pineda,None,3:30,N,37901.0,.80,-4,
23,"Sunday, May 1",NYY,@,BOS,L,7.0,8.0,9.0,8-15,5.0,6.0,Price,Nova,Kimbrel,3:17,N,34279.0,.72,-5,
24,"Tuesday, May 3",NYY,@,BAL,L,1.0,4.0,9.0,8-16,5.0,6.5,Tillman,Severino,O'Day,2:43,N,16083.0,.75,-6,
25,"Wednesday, May 4",NYY,@,BAL,W,7.0,0.0,9.0,9-16,5.0,6.0,Sabathia,Wilson,None,3:16,N,15998.0,.67,1,
26,"Thursday, May 5",NYY,@,BAL,L-wo,0.0,1.0,10.0,9-17,5.0,7.0,Britton,Barbato,None,2:50,N,19598.0,.71,-1,
27,"Friday, May 6",NYY,Home,BOS,W,3.0,2.0,9.0,10-17,5.0,6.0,Yates,Porcello,Miller,3:10,N,45756.0,.59,1,
28,"Saturday, May 7",NYY,Home,BOS,W,8.0,2.0,9.0,11-17,5.0,5.5,Eovaldi,Price,None,3:09,D,47822.0,.66,2,
29,"Sunday, May 8",NYY,Home,BOS,L,1.0,5.0,9.0,11-18,5.0,6.5,Wright,Severino,None,2:27,N,41869.0,.74,-1,
30,"Monday, May 9",NYY,Home,KCR,W,6.0,3.0,9.0,12-18,5.0,6.0,Yates,Young,None,2:41,N,41243.0,.58,1,
31,"Tuesday, May 10",NYY,Home,KCR,W,10.0,7.0,9.0,13-18,5.0,6.0,Miller,Herrera,Chapman,3:07,N,39128.0,.62,2,
32,"Wednesday, May 11",NYY,Home,KCR,L,3.0,7.0,9.0,13-19,5.0,7.0,Ventura,Pineda,None,3:18,N,31226.0,.64,-1,
33,"Thursday, May 12",NYY,Home,KCR,W,7.0,3.0,9.0,14-19,5.0,7.0,Eovaldi,Kennedy,None,2:45,N,35944.0,.56,1,
