Team,Avg Attendance
ARI,25680.802469135804
ATL,25017.4
BAL,30416.02666666667
BOS,35564.12345679013
CHC,36540.88888888889
CHW,21947.625
CIN,29870.444444444445
CLE,17806.47435897436
COL,31334.8625
DET,33654.91358024691
HOU,26587.46913580247
KCR,33438.87654320987
LAA,37194.62962962963
LAD,46479.1975308642
MIA,21632.53086419753
MIL,31389.604938271605
MIN,27408.074074074073
NYM,31725.345679012345
NYY,39922.4375
OAK,21829.320987654322
PHI,23475.384615384617
PIT,30846.864197530864
SDP,30367.30864197531
SEA,27081.246913580246
SFG,41677.555555555555
STL,43467.765432098764
TBR,15322.07142857143
TEX,30763.88888888889
TOR,34504.82716049383
WSN,32343.74074074074
