Team,Avg Attendance
ARI,26350.30864197531
ATL,30929.037037037036
BAL,25042.271604938273
BOS,36020.71604938272
CHC,39500.765432098764
CHW,20626.20253164557
CIN,22677.987654320987
CLE,25285.654320987655
COL,36464.81481481482
DET,28661.716049382718
HOU,29674.95061728395
KCR,27754.625
LAA,37278.82716049383
LAD,46492.049382716046
MIA,20295.05128205128
MIL,31282.20238095238
MIN,25640.9875
NYM,30757.775
NYY,39851.45
OAK,18446.5125
PHI,24118.40506329114
PIT,23696.876543209877
SDP,26401.123456790123
SEA,26363.51851851852
SFG,40785.82716049383
STL,42572.06172839506
TBR,15670.2375
TEX,30960.0
TOR,39554.148148148146
WSN,31172.59259259259
