Team,Avg Attendance
ARI,26364.320987654322
ATL,32776.79012345679
BAL,16347.5875
BOS,35993.851851851854
CHC,38208.20987654321
CHW,21425.64935064935
CIN,22334.25925925926
CLE,22008.12658227848
COL,36953.62962962963
DET,18767.875
HOU,35276.135802469136
KCR,18495.7375
LAA,37321.135802469136
LAD,49065.543209876545
MIA,10016.074074074075
MIL,36090.53086419753
MIN,28435.79012345679
NYM,30531.65
NYY,41827.898734177215
OAK,20626.345679012345
PHI,33671.864197530864
PIT,18412.827160493827
SDP,29585.172839506173
SEA,22112.456790123455
SFG,33429.135802469136
STL,42967.81481481482
TBR,14734.1875
TEX,26333.25925925926
TOR,21606.716049382718
WSN,27898.53086419753
