Team,Avg Attendance
ARI,25138.46913580247
ATL,24949.555555555555
BAL,26819.061728395063
BOS,36486.83950617284
CHC,39906.41975308642
CHW,21828.6625
CIN,23383.765432098764
CLE,19650.20987654321
COL,32129.925925925927
DET,31173.2375
HOU,28476.827160493827
KCR,31576.69135802469
LAA,37236.32098765432
LAD,45719.9012345679
MIA,21405.2125
MIL,28583.25925925926
MIN,24245.827160493827
NYM,34870.025
NYY,37819.81481481482
OAK,18784.024691358023
PHI,23643.753086419754
PIT,28115.0125
SDP,29029.9012345679
SEA,27999.11111111111
SFG,41546.37037037037
STL,42524.567901234564
TBR,15878.555555555555
TEX,33461.753086419754
TOR,41877.765432098764
WSN,30641.20987654321
