Team,Avg Attendance
ARI,25601.604938271605
ATL,29065.493827160495
BAL,30805.9125
BOS,36494.92592592593
CHC,32742.135802469136
CHW,20896.46835443038
CIN,30576.0987654321
CLE,18428.115384615383
COL,33090.48148148148
DET,36014.92592592593
HOU,21627.51851851852
KCR,24154.0987654321
LAA,38221.41975308642
LAD,46695.51851851852
MIA,21386.20987654321
MIL,34535.60493827161
MIN,27785.25925925926
NYM,26860.1
NYY,42520.3
OAK,25045.35
PHI,29924.0987654321
PIT,30155.11111111111
SDP,27103.37037037037
SEA,25485.604938271605
SFG,41588.851851851854
STL,43711.71604938272
TBR,17857.58024691358
TEX,33564.60493827161
TOR,29327.46913580247
WSN,31844.30864197531
