attendance,is_federal_holiday,venue,on_grass,temperature,wind_speed,team1_name,team1_pre_win,team1_pre_loss,team1_pre_win_pct,team1_streak,team2_name,team2_pre_win,team2_pre_loss,team2_pre_win_pct,team2_streak,salary-500-800,salary-800-1500,salary-1500,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weather_Cloudy,weather_Drizzle,weather_In Dome,weather_Overcast,weather_Rain,weather_Sunny,season_type,season,home_team_avg_att_last_year,start_hour,start_hour_label_afternoon,start_hour_label_evening,start_hour_label_night,start_hour_label_noon,game_page_url,start_time,previous_5_to_10MA,lle1,lle2
25025,0,Tropicana Field,0,-0.1441700132202385,-1.4790269853217983,BAL,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,TBR,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-0.2406566794449572,-1.5151941458939897,-2.2400266916614,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-1.9713938867666168,15,1,0,0,0,https://www.baseball-reference.com/boxes/TBA/TBA202204080.shtml,2022-04-08 15:10:00,14734.1875,0.008364510557042975,4.562455653284184e-06
42719,0,Angel Stadium of Anaheim,1,1.8377061768383856,0.500883455540361,HOU,-1.5868419194271768,-1.654513922577482,1.0,0.3938809207036373,LAA,-1.6242976133009144,-1.615792911707593,0.0,-0.4502163335842259,-0.7276857833192146,-1.5151941458939897,-0.7054448817350786,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.93439024078442,18,0,1,0,0,https://www.baseball-reference.com/boxes/ANA/ANA202204080.shtml,2022-04-08 18:38:00,37321.135802469136,0.008003308023280637,0.001327830026262126
17297,0,Chase Field,0,2.0264562901773027,-1.0830448971493665,SDP,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,ARI,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,0.7334015283035576,-1.9475228711019807,-1.089090334216659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-0.4751909983918569,18,0,1,0,0,https://www.baseball-reference.com/boxes/ARI/ARI202204080.shtml,2022-04-08 18:40:00,26364.32098765432,0.008947641028111701,-0.001029638619434376
25677,0,Nationals Park,1,-1.0879205799148215,-0.2910807208045027,NYM,-1.5868419194271768,-1.654513922577482,1.0,0.3938809207036373,WSN,-1.6242976133009144,-1.615792911707593,0.0,-0.4502163335842259,1.2204306321778151,-0.2182079702700156,-0.3217994292534983,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-0.2778167162227177,19,0,1,0,0,https://www.baseball-reference.com/boxes/WAS/WAS202204080.shtml,2022-04-08 19:05:00,27898.53086419753,0.0033556449892998396,0.004010392232153607
45022,0,Rogers Centre,0,-0.5216702398980718,-1.4790269853217983,TEX,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,TOR,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-1.214714887193472,0.2141207549379757,-1.089090334216659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-1.0872512346689631,19,0,1,0,0,https://www.baseball-reference.com/boxes/TOR/TOR202204080.shtml,2022-04-08 19:07:00,21606.71604938272,0.007729110496189395,0.0016866891172896258
40234,0,Truist Park,1,-2.5979214866261544,-0.8850538530631505,CIN,-1.5868419194271768,-1.654513922577482,1.0,0.3938809207036373,ATL,-1.6242976133009144,-1.615792911707593,0.0,-0.4502163335842259,-1.7017439910677297,0.2141207549379757,-0.3217994292534983,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,0.3497655554418811,19,0,1,0,0,https://www.baseball-reference.com/boxes/ATL/ATL202204080.shtml,2022-04-08 19:20:00,32776.79012345679,0.007102342610364797,0.011574389934866343
38885,0,Oracle Park,1,-0.899170466575905,1.292847631885225,MIA,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,SFG,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,-1.214714887193472,-1.0828654206859984,-1.089090334216659,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.4336890538430954,13,0,0,0,1,https://www.baseball-reference.com/boxes/SFN/SFN202204090.shtml,2022-04-09 13:05:00,33429.135802469136,0.007475406134466854,0.00178059901053704
15615,0,Tropicana Field,0,-0.1441700132202385,-1.4790269853217983,BAL,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,TBR,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,-0.7276857833192146,-1.5151941458939897,-2.2400266916614,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-1.9713938867666168,13,0,0,0,1,https://www.baseball-reference.com/boxes/TBA/TBA202204090.shtml,2022-04-09 13:10:00,14734.1875,0.008364510557042975,4.562455653284184e-06
17469,0,Comerica Park,1,-3.2585468833123628,-0.4890717648907186,CHW,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,DET,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,-0.2406566794449572,-1.5151941458939897,-0.3217994292534983,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-1.452464770887793,13,0,0,0,1,https://www.baseball-reference.com/boxes/DET/DET202204090.shtml,2022-04-09 13:10:00,18767.875,0.009016054159666824,-0.0006299890394999019
20867,0,Target Field,1,-2.4091713732872377,-1.0830448971493665,SEA,-1.5868419194271768,-1.654513922577482,1.0,0.3938809207036373,MIN,-1.6242976133009144,-1.615792911707593,0.0,-0.4502163335842259,1.2204306321778151,-0.650536695478007,-1.85638123917982,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-0.208698949314617,13,0,0,0,1,https://www.baseball-reference.com/boxes/MIN/MIN202204090.shtml,2022-04-09 13:10:00,28435.79012345679,0.007883997308824626,0.0011002449464570171
45025,0,Busch Stadium III,1,-1.9372960899399465,0.500883455540361,PIT,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,STL,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,0.2463724244293002,-1.5151941458939897,-0.7054448817350786,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,1.6608288029011082,13,0,0,0,1,https://www.baseball-reference.com/boxes/SLN/SLN202204090.shtml,2022-04-09 13:15:00,42967.81481481482,0.008779609080521032,0.0024827929172826315
30369,0,Wrigley Field,1,-2.786671599965071,0.6988744996265769,MIL,-1.626450181699637,-1.613733041286802,0.0,-0.3786444784385669,CHC,-1.5847076700033458,-1.656593915643788,1.0,0.3344646910007815,-0.2406566794449572,-1.5151941458939897,-1.089090334216659,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.0485112689945344,13,0,0,0,1,https://www.baseball-reference.com/boxes/CHN/CHN202204090.shtml,2022-04-09 13:20:00,38208.20987654321,0.010126764650937991,0.0014805957974305722
