mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
13.606553840637208,0.1913062715916378,0.010609674453735351,0.0016259108465477199,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-30785436.4357777,-28938123.83546644,-29145588.091487583,-28661327.396843087,-28556852.165293027,-29217465.584973566,810855.1721014107,37,-5548.462529005464,-5379.416681710614,-5398.665399104448,-5353.627498887375,-5343.861166356498,-5404.80665501288,74.36805027736001,37,-4272.175794887584,-4133.744125126754,-4168.160219016164,-4165.588628647924,-4197.378611407599,-4187.409475817205,46.928382960565735,36,-0.1833188946621118,-0.17965917789517355,-0.1783509461738405,-0.17216028289463442,-0.17563881759611,-0.17782562384437403,0.003760109517774498,36
29.31321325302124,0.5644170589513338,0.014012670516967774,0.0008952154650443293,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-26259044.365651872,-24796081.443057712,-24723234.52627717,-24198468.510802627,-24099787.72052436,-24815323.313262746,772746.0259571206,34,-5124.357946675063,-4979.566391068374,-4972.2464265437575,-4919.193888311644,-4909.1534627188385,-4980.903623063535,76.95720249134646,34,-3875.4628117981015,-3809.3751124365403,-3817.601144418639,-3789.293143219316,-3824.5996315916186,-3823.2663686928436,28.654800918269,34,-0.1625843768894901,-0.1607635109559031,-0.15713041821601806,-0.15219120998828325,-0.154791007446775,-0.15749210469929392,0.0037989357239047285,34
154.22241725921631,3.2895818755325874,0.03343024253845215,0.004274887266126851,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-21001905.96697735,-19967013.176146504,-19313355.606116805,-19289112.939204194,-19088063.763742976,-19731890.290437568,700565.2362573016,25,-4582.783648283797,-4468.446394010619,-4394.696304196321,-4391.937264944047,-4368.988872009515,-4441.37049668886,78.22021208943349,25,-3405.115504763499,-3360.5554225794267,-3328.5724440080066,-3364.2548950926157,-3345.3607037198703,-3360.771794032684,25.50624761747229,25,-0.1389454169946486,-0.13688726129383275,-0.13254564665227073,-0.13123002639497341,-0.1305481716660954,-0.1340313046003642,0.0033012586514584445,25
302.2181823730469,5.941988922761607,0.04984526634216309,0.00523511295469484,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-19676171.99933704,-18944997.374393065,-17711459.618566662,-18272616.463845823,-18014296.399441432,-18523908.371116806,705400.9324426054,19,-4435.78313258629,-4352.585136949428,-4208.498499294809,-4274.648109943768,-4244.32519953896,-4303.168015662651,81.56837680601953,19,-3277.308616470733,-3226.6609929820484,-3155.276463250819,-3245.6449530539867,-3228.9689982171926,-3226.772004794956,40.066417009924216,21,-0.13322137424611116,-0.1301608094904058,-0.12535619080207436,-0.12632885070401223,-0.12537745422139648,-0.1280889358928,0.0031161679066452033,20
19.332551956176758,0.3458320190819415,0.012611103057861329,0.0027299175652786105,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",-24825221.010271166,-22387532.814558495,-22658787.110787667,-22551426.69001759,-22227801.83462753,-22930153.89205249,958758.5360661638,32,-4982.491446081083,-4731.546556313115,-4760.124694878031,-4748.834245371972,-4714.636978032087,-4787.526784135259,98.69743279339762,32,-3749.6506198477014,-3575.174174448516,-3633.911351763833,-3631.810940901707,-3658.697193633876,-3649.848856119126,56.91109493443613,31,-0.15925185025380897,-0.15258526439565398,-0.15114075894244683,-0.14795051942502122,-0.1500257932937371,-0.15219083726213362,0.003841454215647121,30
43.836198282241824,0.5757649397906599,0.015213823318481446,0.0009805230508100231,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-21756853.80241318,-19947953.814556397,-19513204.090050366,-19726176.769024283,-19426043.790719993,-20074046.453352846,860605.0025579626,27,-4664.424273413942,-4466.313223964078,-4417.375248951617,-4441.4160769988985,-4407.498586581735,-4479.405481982054,94.72582193871155,27,-3439.8793374698007,-3340.068309725293,-3351.228028071254,-3370.957662737646,-3364.6057179122436,-3373.3478111832474,34.943929420089226,27,-0.1436577502445171,-0.13901746306169208,-0.13531996496095622,-0.1345182620863367,-0.1343712072428085,-0.13737692951926211,0.003565880210438791,26
240.88449692726135,5.203571772572479,0.040236616134643556,0.0011671771699758844,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-18870602.856036834,-17767695.791510362,-16349543.16006506,-17179871.812889323,-16680573.332194036,-17369657.39053912,890253.930877115,8,-4344.030715365263,-4215.174467505511,-4043.456832966696,-4144.860891862274,-4084.185761225123,-4166.341733784973,106.0846259396169,8,-3152.1927885790883,-3068.8737657517854,-3025.6362344243034,-3070.350507129516,-3055.518560552573,-3074.5143712874533,42.03095001818623,14,-0.12904962228378722,-0.12386073116227297,-0.11829036891064768,-0.12145656408120477,-0.1187287954643656,-0.12227721638045566,0.003937834804184645,13
477.9817566394806,5.221284373370097,0.07206530570983886,0.004564751940151737,0.1,5,1000,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}",-18483226.418763824,-17590032.75772869,-16251174.878601102,-16961009.896151263,-16429052.173776904,-17142899.225004356,816607.4984817049,5,-4299.212302127428,-4194.047300368546,-4031.2745972708312,-4118.374666801366,-4053.2767206023454,-4139.237117434103,98.05769046928657,5,-3099.468138941631,-3037.5826017815684,-2991.899259542994,-3025.1462605333863,-3014.093687136957,-3033.6379895873074,36.18115347990911,9,-0.1265397250466652,-0.12182236499346306,-0.11673379732163652,-0.11979660822471867,-0.1168820654296774,-0.12035491220323218,0.003630156157263148,9
25.360224199295043,0.3089851252578672,0.018817138671875,0.004449014872527763,0.1,8,50,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",-20890146.32465058,-18871099.10561749,-18576442.077107538,-18500355.775775697,-18320374.940275617,-19031683.64468538,946063.971316,23,-4570.573960089759,-4344.087833552343,-4310.039683936511,-4301.2039914163215,-4280.230711103739,-4361.227236019734,106.6800847630441,23,-3334.7011534939143,-3203.3988288907367,-3220.401053698873,-3210.1713895966577,-3205.1129199884035,-3234.7570691337173,50.32193483114245,23,-0.13878446053753454,-0.1328953584331989,-0.1303016991137085,-0.12920749507138873,-0.12820623708123033,-0.1318790500474122,0.0037903132803143707,22
61.875776863098146,0.44163394676279594,0.022219753265380858,0.0014711901020466782,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",-19319410.313115213,-18005329.001163803,-17170909.793660358,-17377440.780651785,-17044922.013910487,-17783602.38050033,835927.8480035386,15,-4395.385115449522,-4243.2686694532795,-4143.779650712663,-4168.625766442916,-4128.5496259474085,-4215.921765601158,98.01044245765767,15,-3164.494980288361,-3092.5073465701685,-3073.9584147630235,-3073.8523047090507,-3052.2170010359714,-3091.406009473315,38.707983911930384,15,-0.129967197552407,-0.12604974416996514,-0.12234603680228676,-0.12250744224921996,-0.12015922722249256,-0.12420592959927426,0.003444175408416863,15
