mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
0.03619790077209473,0.002785643895142733,8.969411993026734,0.5117074157714676,auto,3,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",-31983376.46400435,-29711923.442769177,-31768984.70424703,-29625590.73865797,-33518558.01987684,-31321686.673911072,1478663.7007041227,17,-5655.384731740569,-5450.864467473868,-5636.398203129995,-5442.939531049189,-5789.521398170737,-5595.021666312871,131.98192073390783,17,-4156.880195599022,-3968.3568323825043,-4073.359141537626,-3990.6210268948657,-4170.65050258082,-4071.973539798967,82.82856570872059,9,-0.16323803776907206,-0.1637930337431362,-0.15665732292528686,-0.15788735730725734,-0.16958190424536568,-0.16223153119802364,0.004635147770505525,9
0.041614723205566403,0.01017155326779136,9.214550256729126,0.8991809180313254,auto,3,1,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",-30277569.688457422,-27986227.537643146,-30226685.372195438,-28035429.586025726,-31585389.874688625,-29622260.411802072,1403087.5028901857,5,-5502.50576450924,-5290.20108669256,-5497.8800798303555,-5294.849344979111,-5620.088066453107,-5441.1048684928755,128.9892315862233,5,-4017.3240778984423,-3811.9458470776613,-3930.3214906436265,-3861.6110516404074,-4023.308469422765,-3928.9021873365805,83.59410711262892,1,-0.1571056155660834,-0.1569793893199713,-0.15044973549630505,-0.15223080262182367,-0.16290777004165988,-0.15593466260916866,0.004356370421162958,1
0.038991117477416994,0.0025928582288421266,0.7374238014221192,0.09823468836771859,auto,3,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-33878579.15575478,-31090425.404826585,-32496786.328715026,-31101471.73594132,-35776458.93090645,-32868744.311228834,1783176.600995678,45,-5820.530831097348,-5575.878890796193,-5700.595260910481,-5576.869349011264,-5981.342569265403,-5731.043380216137,154.55123846032532,45,-4303.59739201304,-4102.229421352893,-4146.23743547949,-4116.804672643304,-4308.094539527302,-4195.392692203206,91.30353177029995,21,-0.17156212015293368,-0.16935412643146847,-0.16230429522480563,-0.1637835659174281,-0.17706166610488153,-0.16881315476630346,0.005358160446678169,17
0.04726762771606445,0.0052374858146312375,0.8487412929534912,0.07353291487325776,auto,3,2,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-32758329.167333998,-30143256.81058917,-31736983.040460333,-30180748.757175002,-34741679.27643578,-31912199.410398852,1725089.6753586254,27,-5723.489247594862,-5490.287497990353,-5633.558648000421,-5493.700825233843,-5894.207264461929,-5647.048696656281,151.79073750215576,27,-4217.800897052792,-4018.3776521547024,-4077.631261658365,-4043.8878499679345,-4226.145563579378,-4116.768644882634,87.97153949454129,15,-0.167665235485146,-0.1656234835744849,-0.15906243686183957,-0.16082287289153954,-0.1733943017752562,-0.16531366611765325,0.005102305929402149,15
0.04896864891052246,0.012148871322425595,9.654542398452758,0.8625781337592072,auto,5,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",-31802177.38203749,-30505753.540456396,-31830171.74400978,-29897169.488590058,-34550167.90790546,-31717088.012599837,1601611.9668460756,21,-5639.341928100964,-5523.201385107771,-5641.823441407023,-5467.830418784955,-5877.939086780796,-5630.027252036302,141.00054584436063,21,-4246.866992665037,-4120.263977180114,-4225.53977180114,-4121.281418092909,-4301.188101059494,-4203.02805215974,71.54918548010404,29,-0.16985680947719162,-0.17110406760155314,-0.16507860072199018,-0.16476907223083462,-0.1784264311576674,-0.1698469962378474,0.004974131809133857,25
0.04056925773620605,0.007405379662836833,10.846229934692383,0.06882623723445476,auto,5,1,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",-29710474.614160813,-28027573.552810743,-29772741.38441351,-27770712.799570333,-32017648.206067026,-29459830.11140449,1523656.501951396,1,-5450.7315668780475,-5294.107436840581,-5456.440358366754,-5269.79248164198,-5658.413930251747,-5425.897154795822,139.53557604815774,1,-4069.803633009534,-3927.1685157358106,-4040.776880533222,-3935.5323896194036,-4106.449651624303,-4015.9462141044546,72.1885290960685,5,-0.16173492169358297,-0.16266596261255148,-0.15712279367053025,-0.1569051777910444,-0.16917649624219264,-0.16152107040198035,0.00448583009365814,5
0.04473190307617188,0.009715283781314405,0.7872682094573975,0.15282072199268495,auto,5,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-32909703.350546043,-31113403.943895683,-32598804.18467808,-30583616.788541164,-35114422.77600652,-32463990.2087335,1587546.2364725152,33,-5736.697948345027,-5577.93904089097,-5709.536249528334,-5530.245635461518,-5925.742381846052,-5696.03225121438,138.58860652714625,33,-4346.729095354523,-4206.028035859821,-4263.912469437653,-4176.824042379788,-4354.563162184189,-4269.611361043195,71.90098271103497,33,-0.17446875101847048,-0.17413663024222117,-0.16888001545985434,-0.1684931401950847,-0.1809624605104328,-0.17338819948521267,0.004547141936482626,33
0.05420246124267578,0.008847220543308807,1.0620043277740479,0.13510842169889412,auto,5,2,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-31735252.310439285,-29908327.316866823,-31515415.77433157,-29429960.77799713,-33911827.5133271,-31300156.73859238,1580587.9232057477,15,-5633.405036959378,-5468.850639473236,-5613.859258507606,-5424.938781036808,-5823.386258297409,-5592.887994854887,140.57245676325928,15,-4251.555681593973,-4109.749320766659,-4173.516890310975,-4085.435611845532,-4258.054467288065,-4175.662394361041,70.76475601543537,19,-0.1701935487251922,-0.16993491774290878,-0.16486188449268602,-0.1647052453044636,-0.1766383226237092,-0.16926678377779197,0.004378484947456626,23
0.052445173263549805,0.010935186689356455,10.657456970214843,0.678278408665088,auto,10,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",-32813928.650819078,-32912339.692620214,-31995082.73811329,-30930349.09182967,-34558782.34736756,-32642096.504149966,1193729.3081901292,41,-5728.344320204494,-5736.927722450425,-5656.419604141235,-5561.506009331435,-5878.671818307905,-5712.373894887099,104.31197995610069,41,-4424.895802770987,-4406.56369193154,-4360.373308883456,-4308.205582722087,-4411.559983700081,-4382.31967400163,42.96518666484457,41,-0.17980331874845865,-0.1852257243520656,-0.17322185099420925,-0.17399578212724348,-0.18585695710523634,-0.17962072666544265,0.005346503903444895,41
0.04171977043151855,0.00463546298280954,10.835158348083496,0.4847347315696958,auto,10,1,distance,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",-30676277.365850367,-30346074.487117402,-29966982.61558079,-28672551.448738366,-32245863.474123463,-30381549.87828208,1153804.9771458043,9,-5538.6169181349205,-5508.72712040789,-5474.210684252186,-5354.675662328986,-5678.544133325325,-5510.9549036898625,104.52716287523836,9,-4253.785196415775,-4207.4973192525085,-4190.278055652652,-4122.08620219413,-4227.841069607571,-4200.297568624527,44.47204888769244,25,-0.171911699058471,-0.17652997525059838,-0.16570457334748806,-0.16614527392583944,-0.17733425152183924,-0.17152515462084722,0.004934886738227179,29
