Name
Jose Reyes
Miguel Cabrera
Justin Verlander
Albert Pujols
Carl Crawford
Adrian Gonzalez
Zack Greinke
Clayton Kershaw
Joe Mauer
Jacoby Ellsbury
Alex Rodriguez
CC Sabathia
Masahiro Tanaka
Mark Teixeira
Ryan Howard
Matt Kemp
Matt Cain
Robinson Canó
Felix Hernandez
Prince Fielder
Cole Hamels
Josh Hamilton
Jayson Werth
Chris Davis
Rick Porcello
David Price
Hanley Ramirez
Jason Heyward
Jon Lester
James Shields
Justin Upton
Yoenis Céspedes
Max Scherzer
Freddie Freeman
Joey Votto
Mike Trout
Johnny Cueto
Buster Posey
J.D. Martinez
Yu Darvish
Homer Bailey
Ian Desmond
Jordan Zimmermann
Giancarlo Stanton
Jake Arrieta
Eric Hosmer
Josh Donaldson
Bryce Harper
Carlos Santana
Nolan Arenado
Charlie Blackmon
Shin-Soo Choo
Stephen Strasburg
Chris Sale
Jose Altuve
Anthony Rendon
Trevor Bauer
Mookie Betts
Jacob deGrom
Francisco Lindor
Gerrit Cole
Zack Wheeler
Manny Machado
Wil Myers
Paul Goldschmidt
George Springer
Patrick Corbin
Madison Bumgarner
Marcus Stroman
Jose Ramirez
Noah Syndergaard
Trea Turner
Christian Yelich
J.T. Realmuto
Carlos Rodon
Robbie Ray
Corey Seager
Marcus Semien
Kevin Gausman
Carlos Correa
