mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
58.22791600227356,2.2436949357126976,0.0013255596160888672,0.00041664396464814816,0.001,{'alpha': 0.001},-26295891.346275043,-27881783.932516176,-27289382.519285258,-26457835.970994465,-25101204.84286915,-26605219.72238802,946272.8663018993,11,-5127.951964115406,-5280.320438431381,-5223.924053744011,-5143.718107652719,-5010.11026254604,-5157.204965297911,91.96014514227717,11,-3979.964810836459,-3988.2330738828027,-3977.514954132786,-4016.8554313268746,-3874.6340149063185,-3967.440457017048,48.467645352643004,11,-0.16298400968436036,-0.16282016086055529,-0.16083099108863208,-0.16084735005712417,-0.15220859411990678,-0.15993822116211573,0.0039737411050232785,1
62.52094554901123,2.3148633761338373,0.0018302440643310548,0.00038131155072529773,0.00206913808111479,{'alpha': 0.00206913808111479},-26295786.44096515,-27881797.29731995,-27289227.108796664,-26457910.100595847,-25101216.16332932,-26605187.422201384,946254.9540425221,10,-5127.941735332525,-5280.3217039608435,-5223.909178842667,-5143.725313485922,-5010.111392307492,-5157.2018647858895,91.95840391353323,10,-3979.956290881701,-3988.2288244227852,-3977.50179657928,-4016.8525314232625,-3874.630548599054,-3967.433998381216,48.467029741097015,10,-0.16298430780950393,-0.16282017510275085,-0.16083061247169525,-0.16084749606081414,-0.1522085795314084,-0.1599382341952345,0.003973784221833631,2
57.49898719787598,2.46614478406445,0.001405048370361328,0.0004965808218881604,0.004281332398719396,{'alpha': 0.004281332398719396},-26295570.67233425,-27881826.007831402,-27288881.828879256,-26458094.788815703,-25101240.461320464,-26605122.751836214,946213.4362677713,9,-5127.920696767283,-5280.324422592934,-5223.876130698282,-5143.743266223121,-5010.1138172022065,-5157.195666696765,91.95437586282813,9,-3979.9390952306576,-3988.2200317033653,-3977.472566308735,-4016.8493935443544,-3874.6232812013736,-3967.420873597697,48.46631637701576,9,-0.16298494461323165,-0.16282020457177943,-0.16082978778921048,-0.16084788389226085,-0.15220855092091418,-0.15993827435747932,0.003973877993041277,3
54.795338821411136,4.691787040135937,0.0013613700866699219,0.0004785384108798404,0.008858667904100823,{'alpha': 0.008858667904100823},-26295135.626558866,-27881891.08141467,-27288309.15427035,-26458482.8957327,-25101274.844383106,-26605018.72047194,946153.7684498964,8,-5127.87827727598,-5280.330584481872,-5223.821317222704,-5143.780992201428,-5010.117248566455,-5157.185683949688,91.94858202457912,8,-3979.9048474152505,-3988.202446285092,-3977.4253826029817,-4016.8435024351274,-3874.606698070712,-3967.396575361833,48.46623161338364,8,-0.16298628216166383,-0.16282026419506063,-0.16082830288690111,-0.1608486889007934,-0.1522084530861394,-0.15993839824611167,0.003974100130401129,4
30.811923694610595,6.547118180401939,0.0016159534454345704,0.0008412445743863231,0.018329807108324356,{'alpha': 0.018329807108324356},-26294233.010207575,-27882037.191783983,-27287022.61854177,-26459262.09017991,-25101381.80951572,-26604787.34404579,946008.6615193245,7,-5127.790265817,-5280.344419806722,-5223.69817452557,-5143.856733053508,-5010.127923468194,-5157.163503334198,91.93445449626775,7,-3979.8302151841726,-3988.167642217784,-3977.315791163875,-4016.8279256908163,-3874.5739275134474,-3967.3431003540195,48.46423735238863,7,-0.16298891640692156,-0.16282042193880528,-0.16082503948895782,-0.1608502525139246,-0.15220828920764043,-0.15993858391124993,0.003974516777879287,5
13.966547966003418,2.7017956478039546,0.0011882305145263672,0.000407746445702061,0.0379269019073225,{'alpha': 0.0379269019073225},-26292486.770837344,-27882465.701966856,-27284438.507628407,-26460997.896791548,-25101672.586758476,-26604412.29279653,945721.7364409877,6,-5127.6199908766,-5280.384995619814,-5223.450823701551,-5144.025456468071,-5010.156942328102,-5157.127641798828,91.90635990502227,6,-3979.6802191742527,-3988.101292617061,-3977.0890355296956,-4016.8024464167293,-3874.506136555107,-3967.2358260585693,48.46227712508277,6,-0.16299455793448453,-0.16282108017699284,-0.16081828722263322,-0.16085373097738956,-0.1522079505074542,-0.15993912136379088,0.003975470422504371,6
6.781278133392334,1.320638416236565,0.0011823654174804687,0.00040660241401755434,0.07847599703514611,{'alpha': 0.07847599703514611},-26289306.785993446,-27883688.73007536,-27279424.960591123,-26464940.630831886,-25102572.216821335,-26603986.664862625,945140.924685656,5,-5127.309897596735,-5280.50080296134,-5222.9708940976425,-5144.408676498387,-5010.24672215065,-5157.087398660951,91.84893812698704,5,-3979.372863886556,-3987.9678863668687,-3976.6352430557668,-4016.7667431333903,-3874.397593000946,-3967.028065888706,48.451023712292404,5,-0.16300630975297112,-0.16282246959750438,-0.1608050658626533,-0.1608613935901333,-0.15220815408804544,-0.1599406785782615,0.003977175643097392,7
3.2128962516784667,0.806969146569576,0.001587677001953125,0.0007723356548842507,0.1623776739188721,{'alpha': 0.1623776739188721},-26284572.49762711,-27886726.847821854,-27270357.48534936,-26460831.18884459,-25105653.220449746,-26601628.248018533,944136.287610561,4,-5126.8482030997475,-5280.788468384419,-5222.102783874458,-5144.0092524065885,-5010.554182967164,-5156.860578146475,91.74543900016292,4,-3978.7845160212305,-3987.970632348041,-3975.75458951789,-4016.239834212257,-3874.4445187911806,-3966.63881817812,48.26118769790581,4,-0.16303151396957488,-0.1628310246445558,-0.1607797550722364,-0.1608543630180781,-0.15221673307109485,-0.159942677955108,0.003977575810153302,8
1.569104051589966,0.8930467915317531,0.0017884731292724609,0.0003799463371593618,0.3359818286283781,{'alpha': 0.3359818286283781},-26283107.848040342,-27882331.33358551,-27258800.391743723,-26451867.174410526,-25113530.943304062,-26597927.538216833,939183.0871851253,3,-5126.705359979286,-5280.372272253681,-5220.996111063839,-5143.137872389824,-5011.340234239146,-5156.510369985155,91.25975264260433,3,-3978.0156932967247,-3988.348804605156,-3974.380029231905,-4015.2998882954093,-3874.9316265569096,-3966.195208397221,47.828460018123685,3,-0.16308223124733684,-0.1628515672688668,-0.16074514792978975,-0.1608429867913052,-0.15223864186370256,-0.1599521150202002,0.003978056630615893,9
1.0847465515136718,0.9134485855229764,0.0012094497680664063,0.0004028659525410273,0.6951927961775606,{'alpha': 0.6951927961775606},-26289865.303228248,-27877412.625548705,-27244939.050748713,-26441159.34945595,-25111489.011273813,-26592973.068051085,936435.9403818706,2,-5127.364362245797,-5279.906497803603,-5219.668480923737,-5142.09678530616,-5011.136498966458,-5156.034525049151,91.00024479231186,2,-3977.9078067961045,-3988.763211948334,-3972.1725020941426,-4013.9858483638154,-3875.2767362995637,-3965.621221100392,47.3934474698357,2,-0.16312196282687308,-0.16289693473264577,-0.16070043159303676,-0.16083899876721447,-0.15225033483374487,-0.15996173255070298,0.003984555038801394,10
