mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
3.415898656845093,0.04357065991837469,0.004604339599609375,0.0004906607786129953,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-26064270.33660184,-29282225.83829973,-26919094.812457375,-29333005.32241375,-27443293.177632723,-27808377.897481084,1300979.5524453383,36,-5105.317848733988,-5411.305372855955,-5188.361476656901,-5415.995321491125,-5238.6346673186445,-5271.922937411323,123.31439282360638,36,-3907.457593026132,-4151.059433242205,-3990.3855986222657,-4152.414471958654,-4026.336507678361,-4045.530720905523,94.90420047823979,36,-0.16219631624737113,-0.17308293898067284,-0.17677175836981968,-0.1729362969715736,-0.1715683273680082,-0.1713111275874891,0.004873292873898709,36
7.7214035987854,0.11055146211590618,0.006405878067016602,0.000490135192744913,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-22461235.40524243,-25916655.08256265,-23509704.425183963,-25434109.124412864,-23694742.662904046,-24203289.340061195,1282573.2866342913,34,-4739.328581691971,-5090.840312027342,-4848.680689134309,-5043.224080329255,-4867.724587823765,-4917.959650201328,130.2390841983104,34,-3627.7070739888436,-3861.893304840699,-3680.6691977943415,-3843.7499968417105,-3693.098452162598,-3741.4236051256385,93.74594056697272,35,-0.14620481863317256,-0.15700354424326377,-0.15833482896937637,-0.1552906280024045,-0.15268554992037692,-0.15390387395371885,0.004287753988401498,33
41.000385189056395,0.31081096246480855,0.019017648696899415,0.001096062194283383,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-18446219.48911531,-21533085.03102269,-19549625.75449753,-20800578.17718924,-19594042.30501598,-19984710.15136815,1074428.1008904513,24,-4294.906225881458,-4640.3755269398935,-4421.495872948151,-4560.765086823618,-4426.515820034531,-4468.811706525531,120.13360474292273,24,-3267.0105846490806,-3474.6371656349597,-3306.5544878751307,-3458.568188309967,-3345.962407940586,-3370.546566881945,82.46420465992684,25,-0.1278736648106372,-0.1374755990832387,-0.1380724741462901,-0.1357456550247659,-0.13519632597916473,-0.13487274380881933,0.003656963659835533,24
79.68346862792968,1.4496175870526606,0.035031890869140624,5.135693366178993e-07,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-17063749.09392494,-20570502.851850234,-18523773.57980823,-19906929.30563239,-18660078.556868393,-18945006.67761684,1213695.5472948486,16,-4130.829104904358,-4535.471623971452,-4303.925368754462,-4461.718201055776,-4319.731306096294,-4350.335120956469,139.96789985388963,16,-3150.1616931204208,-3362.521123711677,-3189.2865338915626,-3336.794468526743,-3238.0855973539287,-3255.3698833208664,82.2749904790925,19,-0.12267660199600489,-0.13150270409057424,-0.13297862854688017,-0.13052347679177123,-0.13133998897636698,-0.1298042800803195,0.0036507690396010276,17
5.321225929260254,0.09096393127440375,0.006206321716308594,0.0004000426582062504,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",-21527266.084763378,-24697068.99216041,-22071990.058484334,-24219644.17818278,-22814369.51048415,-23066067.76481501,1217403.5200431477,30,-4639.748493696979,-4969.614571791299,-4698.083658097665,-4921.345769013064,-4776.438998928402,-4801.046298305481,126.5788542460659,30,-3518.657379809843,-3743.072951371069,-3539.2674827942324,-3726.643763009706,-3612.939906980004,-3628.1162967929704,92.76678618421026,30,-0.14331771509438684,-0.1534020489948635,-0.15373910564173307,-0.15171531805178512,-0.1511959817383359,-0.1506740339042209,0.003802863650994969,29
11.743049907684327,0.250558789428649,0.008408021926879884,0.0008005739514233368,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-19201702.489100467,-21894229.81543154,-19817721.87931261,-21728214.768080395,-20516111.213849854,-20631596.033154972,1050441.8258091947,27,-4381.974724835878,-4679.127035615889,-4451.709994969642,-4661.35331937844,-4529.471405567084,-4540.727296073387,115.72232217271532,27,-3317.185054420641,-3508.987425324086,-3310.6917190450954,-3507.0956482249876,-3393.133353427678,-3407.4186400884973,87.12518664229277,27,-0.13205652419339067,-0.14129609220666103,-0.14070109393491623,-0.14037523252345713,-0.1399051415179959,-0.13886681687528418,0.0034350974720230637,27
62.316517162322995,0.4760897003725585,0.025623464584350587,0.0013578936772044648,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-16689207.69170757,-19628156.787992824,-17430074.56911469,-18869317.824370887,-18162269.60210466,-18155805.295058127,1034848.2451288113,9,-4085.24267231551,-4430.367568045886,-4174.934079613076,-4343.882805091648,-4261.72143647431,-4259.229712308086,121.52182046900494,8,-3071.3861871752297,-3232.3720130906718,-3034.849287781482,-3192.5574624248543,-3129.2109041628387,-3132.0751709270157,73.29637543450666,12,-0.11939246156374661,-0.1276498986710916,-0.12653452120414738,-0.12492193537129917,-0.12770955454060773,-0.1252416742701785,0.0030944128114245104,12
123.8481231212616,0.6585283845743607,0.04724264144897461,0.0009808348170258394,0.1,5,1000,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}",-16424008.188579489,-19293653.54613259,-17053503.16959681,-18584393.582983688,-17997460.040223904,-17870603.705503296,1030626.1439658907,5,-4052.6544620260297,-4392.454159821431,-4129.588740976129,-4310.9620252309915,-4242.341339428489,-4225.6001454966145,122.0947004676787,5,-3039.2213786848065,-3175.73609845926,-2982.91471297547,-3144.9892961593696,-3101.537100538427,-3088.8797173634666,70.06719328447765,6,-0.11772931907865496,-0.12473176315291022,-0.12390272897899338,-0.12294931199902032,-0.12630039592794123,-0.12312270382750401,0.002912521313574077,6
7.516016674041748,0.17785411926587544,0.007806730270385742,0.0004006387789570716,0.1,8,50,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",-18671659.95120356,-21574074.19200167,-19345432.793423533,-20281334.914218377,-19993117.47712337,-19973123.8655941,974293.6051482584,23,-4321.0716206982215,-4644.790005156495,-4398.344324109191,-4503.48031129463,-4471.366399337385,-4467.810532119185,108.59518718153166,23,-3249.286520052841,-3437.03454681795,-3252.5611268851653,-3358.585496919525,-3269.518983616254,-3313.3973348583468,73.57265885492745,23,-0.1297167323232326,-0.13778326692320322,-0.13811494999618684,-0.13445677101999007,-0.13505446945023955,-0.13502523794257046,0.0030218300900587618,25
17.217615604400635,0.27299899692179347,0.012211370468139648,0.0004006395451189722,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",-17368449.995346118,-20138228.300790187,-17977393.19480203,-18670412.621157784,-18885737.976426415,-18608044.417704504,933464.6772431418,14,-4167.547239725798,-4487.563737796956,-4239.975612524444,-4320.927287187067,-4345.772425751999,-4312.357260597253,107.79273945245696,14,-3118.4073507951334,-3294.405309434269,-3097.973844397415,-3197.1264829187658,-3157.9093845010207,-3173.164474409321,69.5100124090773,15,-0.12258371427389894,-0.1300257393269637,-0.129584811867367,-0.12682453742200112,-0.12938745947490507,-0.12768125247302714,0.0027838877735836946,15
