mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
0.021510744094848634,0.007656441998496257,0.0014659404754638673,0.0005264114121503464,0.001,{'alpha': 0.001},-25605629.826070257,-26335551.346144266,-27567471.209030066,-26804278.24729316,-26708802.36137002,-26604346.597981554,640027.9314555055,12,-5060.200571723442,-5131.817548017882,-5250.47342713303,-5177.284833510047,-5168.055955711975,-5157.566467219274,62.08650575475621,12,-3953.155148153426,-3932.1915555097125,-3993.922689901812,-3990.976700007844,-3967.7243375843823,-3967.5940862314355,23.245563352977864,13,-0.15474838006420052,-0.16076864353153872,-0.15767666490885296,-0.15950010888700877,-0.1667246994700554,-0.15988369937233127,0.003974218305072034,8
0.017783737182617186,0.0009904407742057184,0.0012133598327636718,0.00042313080720517024,0.00206913808111479,{'alpha': 0.00206913808111479},-25605771.85229425,-26335693.377407245,-27567456.777752478,-26804021.606251314,-26708242.24536684,-26604237.171814427,639933.0665984525,11,-5060.214605359564,-5131.831386299364,-5250.472052849389,-5177.260048157839,-5168.001765224819,-5157.555971578196,62.077144365115416,11,-3953.1568646756987,-3932.200532485366,-3993.908369565302,-3990.9596918381003,-3967.681874897595,-3967.5814666924125,23.235907369210498,12,-0.15474866862949305,-0.1607690269970549,-0.15767670720881088,-0.15949958546621512,-0.16672342981454882,-0.15988348362322455,0.003973729128291555,7
0.017206716537475585,0.0006565583523625763,0.00120849609375,0.00040051208670337956,0.004281332398719396,{'alpha': 0.004281332398719396},-25606059.793687332,-26335980.79713549,-27567429.809377924,-26803509.370104957,-26707120.329982575,-26604020.020057656,639742.7194253729,10,-5060.243056779716,-5131.8593898445315,-5250.469484663055,-5177.21057811105,-5167.893219676909,-5157.535145815053,62.05835753674899,10,-3953.1602774919174,-3932.2185887730625,-3993.879488256185,-3990.925381826915,-3967.596141743491,-3967.5559756183147,23.216481693200883,11,-0.1547492516542171,-0.16076980218048326,-0.1576767955758598,-0.15949853154921964,-0.16672086282809134,-0.15988304875757425,0.003972739915468581,6
0.01681241989135742,0.0006740864543278967,0.0014036178588867187,0.0004940701314275281,0.008858667904100823,{'alpha': 0.008858667904100823},-25606631.39678382,-26336549.353836432,-27567385.103495467,-26802524.064511105,-26704946.01083123,-26603607.18589161,639372.4996009452,9,-5060.2995362709335,-5131.914784350616,-5250.465227338951,-5177.11541927656,-5167.682847353466,-5157.495562918105,62.021805614371885,9,-3953.1667784550064,-3932.2538641592237,-3993.8228910631046,-3990.857945997718,-3967.4336386132886,-3967.5070236576685,23.17854060932884,10,-0.15475040124569472,-0.16077133249659456,-0.15767698593726565,-0.15949646812192328,-0.16671592963521165,-0.159882223487338,0.003970832001478965,5
0.01780991554260254,0.0007248589115066052,0.000908517837524414,0.0002589654974726804,0.018329807108324356,{'alpha': 0.018329807108324356},-25607720.18758549,-26337625.709036637,-27567330.6128945,-26800760.076545797,-26700989.52917996,-26602885.22304848,638693.9611590543,8,-5060.407116782749,-5132.0196520509,-5250.460038215176,-5176.945052494357,-5167.300023143611,-5157.426376537359,61.95477096409165,8,-3953.1801121053045,-3932.3215930288347,-3993.7173285502167,-3990.73438676697,-3967.147681525031,-3967.4202203952714,23.107820561333316,9,-0.15475262287544525,-0.160774291910375,-0.15767739219967128,-0.15949272784322005,-0.16670719516627924,-0.15988084599899816,0.0039674123885411906,3
0.016891622543334962,0.0012815837220543434,0.001350736618041992,0.0006135041172742634,0.0379269019073225,{'alpha': 0.0379269019073225},-25609640.521824826,-26339508.13976901,-27567321.651697904,-26797992.25745549,-26694552.846870653,-26601803.08352358,637574.1529287817,6,-5060.596854307289,-5132.203049351127,-5250.459184842589,-5176.677723932164,-5166.677157213391,-5157.322793929312,61.844019441904145,6,-3953.2338279926375,-3932.4354308988345,-3993.539166445129,-3990.5439535105234,-3966.67696422628,-3967.2858686146806,22.989379196404087,8,-0.15475739103658906,-0.1607794683729328,-0.15767830117442316,-0.15948734306031337,-0.16669293299667243,-0.15987908732818618,0.0039615117061307225,2
0.01678767204284668,0.0007020032789574932,0.0012752532958984375,0.00040464827732856763,0.07847599703514611,{'alpha': 0.07847599703514611},-25612612.26162635,-26342411.391412806,-27567477.771134716,-26794513.554560214,-26685767.10456983,-26600556.416660786,636001.5166555425,5,-5060.890461334482,-5132.485888087059,-5250.474052038989,-5176.341715397102,-5165.826855845038,-5157.203794540535,61.68823419016674,5,-3953.3190243630174,-3932.612051183074,-3993.281224343151,-3990.3671452592944,-3966.1162995076174,-3967.1391489312314,22.83466865620843,7,-0.15476501424470876,-0.16078781771744194,-0.1576802099583866,-0.1594837864218421,-0.16667740630429637,-0.15987884692933516,0.003954440530074011,1
0.016525650024414064,0.0007810218799759134,0.0018300533294677735,0.00040585899971967514,0.1623776739188721,{'alpha': 0.1623776739188721},-25616398.08172477,-26346238.665000133,-27567811.303029906,-26791392.586156514,-26676245.539630245,-26599617.235108316,634187.6755113497,2,-5061.264474587825,-5132.858722485953,-5250.505814017341,-5176.04024193751,-5164.905182056128,-5157.114887016952,61.50835078629107,2,-3953.4195532621216,-3932.820455731396,-3993.009359304108,-3990.3063879973756,-3965.477281380682,-3967.0066075351365,22.692125182980185,6,-0.15477574746717065,-0.1607990505119972,-0.1576846381042916,-0.159485602041207,-0.16666080172612985,-0.15988116797015925,0.003945946694871578,4
0.01703505516052246,0.0005331634674210806,0.0016646862030029296,0.0005524433398330935,0.3359818286283781,{'alpha': 0.3359818286283781},-25620106.687030315,-26350715.576403696,-27567823.05259701,-26789706.393721886,-26668349.60662584,-26599340.263275746,632403.8421880091,1,-5061.630832748504,-5133.294807080896,-5250.506932915812,-5175.87735497296,-5164.140742333214,-5157.090134010277,61.331989773760704,1,-3953.4826832614026,-3933.0020692279445,-3992.7421054683955,-3990.3107080054915,-3964.841199781065,-3966.87575314886,22.579661123415956,5,-0.15478817859996655,-0.16081187425095556,-0.15769061135746149,-0.15949124504769166,-0.1666422942443454,-0.15988484070008413,0.003936193443307224,9
0.017900609970092775,0.0007920067627961451,0.0012032508850097657,0.00039860698490392477,0.6951927961775606,{'alpha': 0.6951927961775606},-25622369.310970403,-26355984.103967667,-27566257.708576478,-26789440.497468073,-26664162.49771016,-26599642.823738556,630708.0737316371,3,-5061.854335218508,-5133.807953553353,-5250.357864810405,-5175.851668804668,-5163.735324134087,-5157.121429304205,61.16687951757198,3,-3953.40654346892,-3933.135572446769,-3992.411726204193,-3990.2999193844253,-3964.403019385303,-3966.731356177922,22.4793551809895,4,-0.1548013709905896,-0.16082556587141264,-0.15769502805224583,-0.15949871495351717,-0.1666287018373898,-0.159889876341031,0.003928117536708307,10
