key,season
https://www.baseball-reference.com/boxes/ATL/ATL201504130.shtml,regular
https://www.baseball-reference.com/boxes/BAL/BAL201504130.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504130.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504130.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504130.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504130.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504130.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504130.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504130.shtml,regular
https://www.baseball-reference.com/boxes/SDN/SDN201504130.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504130.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504130.shtml,regular
https://www.baseball-reference.com/boxes/TEX/TEX201504130.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504130.shtml,regular
https://www.baseball-reference.com/boxes/ATL/ATL201504140.shtml,regular
https://www.baseball-reference.com/boxes/BAL/BAL201504140.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504140.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504140.shtml,regular
https://www.baseball-reference.com/boxes/CLE/CLE201504140.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504140.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504140.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504140.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504140.shtml,regular
https://www.baseball-reference.com/boxes/SDN/SDN201504140.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504140.shtml,regular
https://www.baseball-reference.com/boxes/TEX/TEX201504140.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504140.shtml,regular
https://www.baseball-reference.com/boxes/ATL/ATL201504150.shtml,regular
https://www.baseball-reference.com/boxes/BAL/BAL201504150.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504150.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504150.shtml,regular
https://www.baseball-reference.com/boxes/CLE/CLE201504150.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504150.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504150.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504150.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504150.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504150.shtml,regular
https://www.baseball-reference.com/boxes/SDN/SDN201504150.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504150.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504150.shtml,regular
https://www.baseball-reference.com/boxes/TEX/TEX201504150.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504150.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504160.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504160.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504160.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504160.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504160.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504160.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504170.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504170.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504170.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504170.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504170.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504170.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504170.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504170.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504170.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504170.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504170.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504170.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504170.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504170.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504170.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504180.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504180.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504180.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504180.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504180.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504180.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504180.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504180.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504180.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504180.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504180.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504180.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504180.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504180.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504180.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504190.shtml,regular
https://www.baseball-reference.com/boxes/CHN/CHN201504190.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504190.shtml,regular
https://www.baseball-reference.com/boxes/HOU/HOU201504190.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504190.shtml,regular
https://www.baseball-reference.com/boxes/LAN/LAN201504190.shtml,regular
https://www.baseball-reference.com/boxes/MIN/MIN201504190.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504190.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504190.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504190.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504190.shtml,regular
https://www.baseball-reference.com/boxes/SLN/SLN201504190.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504190.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504190.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504190.shtml,regular
https://www.baseball-reference.com/boxes/ANA/ANA201504200.shtml,regular
https://www.baseball-reference.com/boxes/BOS/BOS201504200.shtml,regular
https://www.baseball-reference.com/boxes/CHA/CHA201504200.shtml,regular
https://www.baseball-reference.com/boxes/COL/COL201504200.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504200.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504200.shtml,regular
https://www.baseball-reference.com/boxes/MIL/MIL201504200.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504200.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504200.shtml,regular
https://www.baseball-reference.com/boxes/ANA/ANA201504210.shtml,regular
https://www.baseball-reference.com/boxes/ARI/ARI201504210.shtml,regular
https://www.baseball-reference.com/boxes/CHA/CHA201504210.shtml,regular
https://www.baseball-reference.com/boxes/COL/COL201504210.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504210.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504210.shtml,regular
https://www.baseball-reference.com/boxes/MIL/MIL201504210.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504210.shtml,regular
https://www.baseball-reference.com/boxes/PHI/PHI201504210.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504210.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504210.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504210.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504210.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504210.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504210.shtml,regular
https://www.baseball-reference.com/boxes/ANA/ANA201504220.shtml,regular
https://www.baseball-reference.com/boxes/ARI/ARI201504220.shtml,regular
https://www.baseball-reference.com/boxes/CHA/CHA201504220.shtml,regular
https://www.baseball-reference.com/boxes/COL/COL201504220.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504220.shtml,regular
https://www.baseball-reference.com/boxes/KCA/KCA201504220.shtml,regular
https://www.baseball-reference.com/boxes/MIL/MIL201504220.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504220.shtml,regular
https://www.baseball-reference.com/boxes/PHI/PHI201504220.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504220.shtml,regular
https://www.baseball-reference.com/boxes/SEA/SEA201504220.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504220.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504220.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504220.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504220.shtml,regular
https://www.baseball-reference.com/boxes/ANA/ANA201504230.shtml,regular
https://www.baseball-reference.com/boxes/CHA/CHA201504230.shtml,regular
https://www.baseball-reference.com/boxes/COL/COL201504230.shtml,regular
https://www.baseball-reference.com/boxes/DET/DET201504230.shtml,regular
https://www.baseball-reference.com/boxes/MIL/MIL201504230.shtml,regular
https://www.baseball-reference.com/boxes/NYN/NYN201504230.shtml,regular
https://www.baseball-reference.com/boxes/PHI/PHI201504230.shtml,regular
https://www.baseball-reference.com/boxes/PIT/PIT201504230.shtml,regular
https://www.baseball-reference.com/boxes/SFN/SFN201504230.shtml,regular
https://www.baseball-reference.com/boxes/TBA/TBA201504230.shtml,regular
https://www.baseball-reference.com/boxes/TOR/TOR201504230.shtml,regular
https://www.baseball-reference.com/boxes/WAS/WAS201504230.shtml,regular
